   #  ,  Model       ,  Ref. (kcal/mol) 
   1  ,  APGL_1      ,          0.88715 
   2  ,  APGL_2      ,          1.52028 
   3  ,  APGL_3      ,          1.99840 
   4  ,  APGL_4      ,          2.26470 
   5  ,  APGL_5      ,          2.83240 
   6  ,  CGKRK_1     ,          6.41834 
   7  ,  CGKRK_2     ,          7.73603 
   8  ,  CGKRK_3     ,         10.11902 
   9  ,  CGKRK_4     ,         10.71125 
  10  ,  CGKRK_5     ,         11.97569 
  11  ,  CNGRC_1     ,          2.40650 
  12  ,  CNGRC_2     ,          3.33111 
  13  ,  CNGRC_3     ,          4.05150 
  14  ,  CNGRC_4     ,          5.07485 
  15  ,  CNGRC_5     ,          6.82188 
  16  ,  CREKA_1     ,          1.75896 
  17  ,  CREKA_2     ,          2.57726 
  18  ,  CREKA_3     ,          4.38522 
  19  ,  CREKA_4     ,          4.76393 
  20  ,  CREKA_5     ,          6.67262 
  21  ,  CRGDK_1     ,          0.90219 
  22  ,  CRGDK_2     ,          2.05730 
  23  ,  CRGDK_3     ,          3.81607 
  24  ,  CRGDK_4     ,          4.97556 
  25  ,  CRGDK_5     ,          5.46078 
  26  ,  DGEA_1      ,          0.71543 
  27  ,  DGEA_2      ,          1.07440 
  28  ,  DGEA_3      ,          4.27668 
  29  ,  DGEA_4      ,          4.43662 
  30  ,  DGEA_5      ,          4.77370 
  31  ,  FEFEFKEK_1  ,          3.29010 
  32  ,  FEFEFKEK_2  ,          4.62080 
  33  ,  FEFEFKEK_3  ,          8.27742 
  34  ,  FEFEFKEK_4  ,          9.67442 
  35  ,  FEFEFKEK_5  ,          9.77033 
  36  ,  FRWWHR_1    ,          1.33112 
  37  ,  FRWWHR_2    ,          4.81352 
  38  ,  FRWWHR_3    ,          8.15296 
  39  ,  FRWWHR_4    ,          8.35952 
  40  ,  FRWWHR_5    ,         12.03882 
  41  ,  GAGAGAGA_1  ,          0.54819 
  42  ,  GAGAGAGA_2  ,          4.60254 
  43  ,  GAGAGAGA_3  ,          7.28704 
  44  ,  GAGAGAGA_4  ,          9.83401 
  45  ,  GAGAGAGA_5  ,         10.08720 
  46  ,  GFPGER_1    ,          0.84549 
  47  ,  GFPGER_2    ,          2.76914 
  48  ,  GFPGER_3    ,          4.16120 
  49  ,  GFPGER_4    ,          4.53887 
  50  ,  GFPGER_5    ,          6.42206 
  51  ,  GNNQQNY_1   ,          2.17943 
  52  ,  GNNQQNY_2   ,          6.92062 
  53  ,  GNNQQNY_3   ,          8.40906 
  54  ,  GNNQQNY_4   ,         11.77907 
  55  ,  GNNQQNY_5   ,         13.14086 
  56  ,  GPPGPP_1    ,          6.08570 
  57  ,  GPPGPP_2    ,          6.60692 
  58  ,  GPPGPP_3    ,          6.79342 
  59  ,  GPPGPP_4    ,          7.64669 
  60  ,  GPPGPP_5    ,          8.56719 
  61  ,  GPQGIAG_1   ,          5.62327 
  62  ,  GPQGIAG_2   ,          7.64492 
  63  ,  GPQGIAG_3   ,          7.73760 
  64  ,  GPQGIAG_4   ,         13.37736 
  65  ,  GPQGIAG_5   ,         14.07181 
  66  ,  HHHHHH_1    ,          0.08714 
